Country,Country Code,Series,Series Code,1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019],2020 [2020],2021 [2021],2022 [2022],2023 [2023],2024 [2024]
South Asia developing,SAS,"Exports Merchandise, Customs, Price, US$, seas. adj.",DXGSRMRCHSAXD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"GDP,constant 2010 LCU,millions,seas. adj.,",NYGDPMKTPSAKN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"GDP,constant 2010 US$,millions,seas. adj.,",NYGDPMKTPSAKD,..,..,..,..,..,648783.539912775,687852.782398589,735525.886632519,777225.604101219,807459.640778204,844689.608926751,902809.609329173,972668.787094659,1060460.39490072,1159539.57429862,1276160.92669029,1355623.35671424,1425028.7518183,1580570.92236256,1703878.17326169,1804801.28955759,1914194.69104488,2047079.95790451,2192679.53525954,2387410.81052862,2533521.21321948,2713836.28994664,2834597.80302113,2661953.88263245,2911385.53091299,3104511.94144527,3371597.49817132,3574320.16692883
South Asia developing,SAS,"GDP,current LCU,millions,seas. adj.,",NYGDPMKTPSACN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"GDP,current US$,millions,seas. adj.,",NYGDPMKTPSACD,..,..,..,..,..,423669.050337284,427442.677824963,456780.525342822,479719.164284016,491137.604657718,514463.118482127,596040.414091905,694923.370568468,812926.750179419,916941.594897052,1172981.95612594,1292471.78153348,1272434.65621619,1636747.1794957,1883358.97339563,1877334.20143086,1942332.63777023,2086230.12321774,2173305.9273223,2315796.13283871,2649060.1176472,2827077.95619334,2894501.84863858,2685288.07668583,3177586.95566025,3426215.15421846,3628474.86078683,3918678.37570732
South Asia developing,SAS,"Imports Merchandise, Customs, constant US$, millions, not seas. adj.",DMGSRMRCHNSKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"Imports Merchandise, Customs, constant US$, millions, seas. adj.",DMGSRMRCHSAKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
South Asia developing,SAS,"Imports Merchandise, Customs, current US$, millions, not seas. adj.",DMGSRMRCHNSCD,29049.5795649711,29853.4082757542,35874.9655013534,46364.5059930567,50700.1968690946,55389.153496161,57436.1064895503,62793.0203846966,68863.0936571536,67011.9089793679,75298.1117221558,94981.9055518425,130675.204738719,186552.001500652,231832.889325032,289890.344103652,402160.293555974,321877.778152097,430401.814405908,566316.214622403,588716.797563552,567381.302645035,573701.726810616,497996.039772488,471004.876653262,577636.752129529,655013.415541541,613713.900498519,482712.838514393,736632.497188583,892165.42756647,805669.803906202,845551.483291874
South Asia developing,SAS,"Imports Merchandise, Customs, current US$, millions, seas. adj.",DMGSRMRCHSACD,28785.8707226585,29564.1846960941,35539.1247733555,45947.6089953686,50287.7842304185,54907.4352038183,56900.4878444885,62196.8993999405,68219.9701562904,67040.3946170114,75708.7866100286,95521.6117876145,131411.141824381,187503.589676735,232709.349375815,291139.448291351,402663.49195231,321985.940036336,431124.252055339,566323.288707325,588852.32815123,566973.015537719,573126.206958564,497493.412306865,470735.639911498,577583.466377355,655185.622688281,613841.835482163,481351.644041168,735424.081370308,892884.414764178,805038.823905436,845413.964181798
South Asia developing,SAS,"Imports Merchandise, Customs, Price, US$, not seas. adj.",DMGSRMRCHNSXD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
